folder,Filename,ID,Case,Status,Site,Grey_patch,x,y,R,G,B,h,s,v,l_lab,a_lab,b_lab
linear,Amador_P9090076,1,Cased,Preserved,Amador,G0,1533,676,65534.0,65534.0,65535.0,240.0,1.5258787243510596e-05,1.0,100.0,0.0,0.0
linear,Amador_P9090076,1,Cased,Preserved,Amador,G0,1530,679,65534.0,65534.0,65535.0,240.0,1.5258787243510596e-05,1.0,100.0,0.0,0.0
linear,Amador_P9090076,1,Cased,Preserved,Amador,G0,1550,665,65534.0,65534.0,65535.0,240.0,1.5258787243510596e-05,1.0,100.0,0.0,0.0
linear,Amador_P9090076,1,Cased,Preserved,Amador,G0,1513,652,65534.0,65534.0,65535.0,240.0,1.5258787243510596e-05,1.0,100.0,0.0,0.0
linear,Amador_P9090076,1,Cased,Preserved,Amador,G0,1552,687,65534.0,65534.0,65535.0,240.0,1.5258787243510596e-05,1.0,100.0,0.0,0.0
linear,Amador_P9090076,1,Cased,Preserved,Amador,G0,1554,650,65534.0,65534.0,65535.0,240.0,1.5258787243510596e-05,1.0,100.0,0.0,0.0
linear,Amador_P9090076,1,Cased,Preserved,Amador,G0,1543,658,65534.0,65534.0,65535.0,240.0,1.5258787243510596e-05,1.0,100.0,0.0,0.0
linear,Amador_P9090076,1,Cased,Preserved,Amador,G0,1537,657,65534.0,65534.0,65535.0,240.0,1.5258787243510596e-05,1.0,100.0,0.0,0.0
linear,Amador_P9090076,1,Cased,Preserved,Amador,G0,1527,656,65534.0,65534.0,65535.0,240.0,1.5258787243510596e-05,1.0,100.0,0.0,0.0
linear,Amador_P9090076,1,Cased,Preserved,Amador,G0,1515,655,65534.0,65534.0,65535.0,240.0,1.5258787243510596e-05,1.0,100.0,0.0,0.0
linear,Amador_P9090076,1,Cased,Preserved,Amador,G0,1548,683,65534.0,65534.0,65535.0,240.0,1.5258787243510596e-05,1.0,100.0,0.0,0.0
linear,Amador_P9090076,1,Cased,Preserved,Amador,G0,1544,687,65534.0,65534.0,65535.0,240.0,1.5258787243510596e-05,1.0,100.0,0.0,0.0
linear,Amador_P9090076,1,Cased,Preserved,Amador,G0,1533,651,65534.0,65534.0,65535.0,240.0,1.5258787243510596e-05,1.0,100.0,0.0,0.0
linear,Amador_P9090076,1,Cased,Preserved,Amador,G0,1544,671,65534.0,65534.0,65535.0,240.0,1.5258787243510596e-05,1.0,100.0,0.0,0.0
linear,Amador_P9090076,1,Cased,Preserved,Amador,G0,1517,689,65534.0,65534.0,65535.0,240.0,1.5258787243510596e-05,1.0,100.0,0.0,0.0
linear,Amador_P9090076,1,Cased,Preserved,Amador,G0,1508,660,65534.0,65534.0,65535.0,240.0,1.5258787243510596e-05,1.0,100.0,0.0,0.0
linear,Amador_P9090076,1,Cased,Preserved,Amador,G0,1513,673,65534.0,65534.0,65535.0,240.0,1.5258787243510596e-05,1.0,100.0,0.0,0.0
linear,Amador_P9090076,1,Cased,Preserved,Amador,G0,1523,648,65534.0,65534.0,65535.0,240.0,1.5258787243510596e-05,1.0,100.0,0.0,0.0
linear,Amador_P9090076,1,Cased,Preserved,Amador,G0,1526,697,65534.0,65534.0,65535.0,240.0,1.5258787243510596e-05,1.0,100.0,0.0,0.0
linear,Amador_P9090076,1,Cased,Preserved,Amador,G0,1522,670,65534.0,65534.0,65535.0,240.0,1.5258787243510596e-05,1.0,100.0,0.0,0.0
linear,Amador_P9090076,1,Cased,Preserved,Amador,G0,1512,666,65534.0,65534.0,65535.0,240.0,1.5258787243510596e-05,1.0,100.0,0.0,0.0
linear,Amador_P9090076,1,Cased,Preserved,Amador,G0,1525,655,65534.0,65534.0,65535.0,240.0,1.5258787243510596e-05,1.0,100.0,0.0,0.0
linear,Amador_P9090076,1,Cased,Preserved,Amador,G0,1556,684,65534.0,65534.0,65535.0,240.0,1.5258787243510596e-05,1.0,100.0,0.0,0.0
linear,Amador_P9090076,1,Cased,Preserved,Amador,G0,1518,685,65534.0,65534.0,65535.0,240.0,1.5258787243510596e-05,1.0,100.0,0.0,0.0
linear,Amador_P9090076,1,Cased,Preserved,Amador,G0,1534,661,65534.0,65534.0,65535.0,240.0,1.5258787243510596e-05,1.0,100.0,0.0,0.0
linear,Amador_P9090076,1,Cased,Preserved,Amador,G1,1539,790,35299.0,32764.0,54774.0,246.91049194335938,0.4018329381942749,0.8357976675033569,57.354736328125,23.78125,-42.8125
linear,Amador_P9090076,1,Cased,Preserved,Amador,G1,1541,761,35520.0,32253.0,53565.0,249.1976318359375,0.3978716731071472,0.8173494935035706,56.72607421875,24.015625,-41.265625
linear,Amador_P9090076,1,Cased,Preserved,Amador,G1,1529,769,33524.0,30623.0,51866.0,248.19375610351562,0.40957462787628174,0.7914244532585144,54.241943359375,23.625,-41.546875
linear,Amador_P9090076,1,Cased,Preserved,Amador,G1,1537,788,35075.0,33142.0,53187.0,245.78598022460938,0.3768777847290039,0.8115816116333008,57.403564453125,21.15625,-39.375
linear,Amador_P9090076,1,Cased,Preserved,Amador,G1,1548,772,33723.0,33086.0,54075.0,241.82095336914062,0.3881460428237915,0.8251315951347351,57.135009765625,20.625,-41.78125
linear,Amador_P9090076,1,Cased,Preserved,Amador,G1,1566,809,34074.0,33478.0,54564.0,241.69590759277344,0.38644519448280334,0.8325932621955872,57.733154296875,20.6875,-41.953125
linear,Amador_P9090076,1,Cased,Preserved,Amador,G1,1541,807,34103.0,33933.0,53526.0,240.5205841064453,0.36604630947113037,0.8167544007301331,58.050537109375,18.421875,-39.21875
linear,Amador_P9090076,1,Cased,Preserved,Amador,G1,1560,800,34536.0,34081.0,53093.0,241.43594360351562,0.35808858275413513,0.810147225856781,58.203125,18.0,-37.84375
